#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
650500,-39882.60723263848,7710.3474008226685,-32172.259831815813,308.1893120952157,30.437968503977242,0
651000,-39862.74054573189,7623.092634008429,-32239.64791172346,304.7016629448494,30.427438060765663,560
651500,-39955.47820064154,7801.820725516976,-32153.657475124564,311.8455806843059,30.14397043150736,608
652000,-39993.49356794186,7696.252177061958,-32297.241390879906,307.6259137048685,30.404571364086443,626
652500,-39967.815766735126,7639.412958746617,-32328.40280798851,305.3540005624379,30.237015716624526,635
653000,-40225.79306610083,7507.4903537932005,-32718.302712307628,300.0809389535583,30.439026947711028,641
653500,-40420.85528243423,7402.195713387956,-33018.65956904628,295.872220317827,30.23932773777749,643
654000,-40163.61348121651,7256.890397283351,-32906.72308393316,290.06424006919667,30.23712000746912,646
654500,-40241.2511746609,7363.889243516318,-32877.36193114458,294.3410772986062,30.34737920046042,648
655000,-40140.08490386028,7443.177878854182,-32696.9070250061,297.51031322423233,30.38061290640783,650
655500,-40259.1601255357,7520.865864977994,-32738.29426055771,300.61556980437103,30.488393054292526,651
656000,-39971.89407692909,7569.469343408597,-32402.424733520496,302.5582932387735,30.488393054292526,652
656500,-39833.04041510735,7344.211165419315,-32488.82924968804,293.55452734997175,30.622825470069582,653
657000,-39829.9182219393,7285.606811000703,-32544.311410938593,291.21206017759386,30.51114009692974,654
657500,-39927.45293297833,7384.817630450091,-32542.63530252824,295.17760318221224,30.515795735173693,655
658000,-40087.723797739716,7655.831048503446,-32431.89274923627,306.01024593311143,30.4440034869111,655
658500,-40162.397286322186,7696.554764568889,-32465.842521753297,307.638008391497,30.52686516067843,656
659000,-39958.92335055848,7334.02094123126,-32624.902409327216,293.14721519925365,30.34717492335866,656
659500,-40058.52045338978,7503.65754929959,-32554.862904090187,299.9277384142214,30.17077673475076,656
660000,-40009.77454141902,7429.863360701179,-32579.91118071784,296.97812031811037,30.453859677105363,656
660500,-39931.30279209002,7286.441002158624,-32644.861789931398,291.24540352592186,30.3985857197454,656
661000,-39944.85748157635,7327.405794809478,-32617.45168676687,292.88280202574083,30.487939706249154,656
661500,-39759.786830691075,7586.034455700259,-32173.752374990814,303.2204152284263,30.84814732445366,656
662000,-39593.98621633729,7567.485690394751,-32026.500525942538,302.47900489727704,30.87138194739681,657
662500,-39766.03581243517,7610.675449395551,-32155.360363039617,304.20533724315743,30.87138194739681,657
663000,-39927.13462901457,7539.397104032375,-32387.737524982193,301.356279595973,30.751928871739413,657
663500,-39728.07578021206,7448.6235919849905,-32279.452188227067,297.7279831288948,30.662308122378462,657
664000,-40037.10671991099,7591.07216834189,-32446.0345515691,303.42177699759793,30.62619987126165,658
664500,-39840.73733110947,7634.375186769698,-32206.36214433977,305.15263642158305,30.8837561871941,658
665000,-39701.806137018546,7500.232855165517,-32201.57328185303,299.7908504019895,30.77147031449024,658
665500,-40075.28180928401,7708.3224041038175,-32366.95940518019,308.1083712097621,30.53879373519383,658
666000,-40042.044856470544,7647.196231695864,-32394.84862477468,305.6651047723237,30.523686021922398,654
666500,-40007.88952820711,7578.584343448075,-32429.305184759036,302.92262774225054,30.416956899065294,655
667000,-40528.94313051285,7467.353308133011,-33061.58982237984,298.4766262230803,30.286035963634315,655
667500,-39992.00100425464,7366.290847303269,-32625.710156951372,294.43707149712276,30.63962812293449,655
668000,-40193.57191923378,7480.791967870191,-32712.779951363587,299.0137811766225,30.514099231755537,655
668500,-40108.551793792336,7442.529277084685,-32666.02251670765,297.48438804566723,30.022160921612606,656
669000,-40295.51069186582,7424.220235026769,-32871.29045683905,296.7525596618581,30.084397059169444,656
669500,-40055.90974482699,7637.899996216368,-32418.00974861062,305.2935261301998,30.360735654042138,656
670000,-39762.11870662457,7424.723207724208,-32337.39549890036,296.7726639193666,30.58140482045572,656
670500,-39833.780863970846,7480.557690457182,-32353.223173513663,299.00441690404165,30.63661209804203,656
671000,-39799.527533343135,7418.1686763746,-32381.358856968534,296.5106735831689,30.603250475595665,657
671500,-39887.61580478866,7309.784962713388,-32577.83084207527,292.17848199449816,30.398044748263892,657
672000,-40076.7292520232,7478.849273428732,-32597.87997859447,298.93612998499646,30.2673243540492,657
672500,-40111.47190756503,7587.717619498549,-32523.75428806648,303.2876927538311,30.408587142461265,657
673000,-40314.64543127656,7371.395823511508,-32943.24960776506,294.64112184973226,30.287143355691846,657
673500,-40066.12879531934,7543.531656468306,-32522.597138851033,301.5215412638085,30.01164863436892,657
674000,-40182.65435102604,7331.342915380362,-32851.31143564568,293.04017216969135,30.01164863436892,657
674500,-40119.22732441905,7393.036768567833,-32726.19055585122,295.5061293031302,30.44486435492373,657
675000,-40189.44494779387,7469.513234569413,-32719.931713224454,298.56296036705675,30.45420201727881,657
675500,-40034.5283203297,7185.547662752335,-32848.98065757737,287.21260873080075,30.58690165216229,658
676000,-40190.37243408224,7423.076835277925,-32767.29559880431,296.70685697639817,30.289664136755444,657
676500,-40059.651661349526,7364.272962354112,-32695.378698995413,294.356414875308,30.607949631165567,658
677000,-40113.895834229945,7567.694129621289,-32546.201704608655,302.4873363950035,30.607949631165567,658
677500,-40004.78890216507,7420.644263359432,-32584.144638805636,296.6096249546475,30.654415941577412,656
678000,-40183.54584443265,7346.893375523712,-32836.65246890894,293.6617376277967,30.673364883377307,656
678500,-40303.646576379666,7255.672069643114,-33047.97450673655,290.015542450551,30.545494448226766,656
679000,-39984.89914955162,7246.473808331583,-32738.425341220034,289.64787992139304,30.463742624408702,656
679500,-40028.678747046455,7456.872963927863,-32571.805783118594,298.0577177221792,30.138827113804545,656
680000,-40312.566499757275,7313.063582156411,-32999.50291760086,292.30953127389364,30.551525578786368,656
680500,-40259.542489423286,7321.738760785008,-32937.803728638275,292.65628573187894,30.40557101038226,656
681000,-40161.53122625434,7472.320206942553,-32689.211019311784,298.67515750160555,29.933147161360147,656
681500,-40363.761917317875,7368.235573894192,-32995.526343423684,294.5148039155357,30.081750302804327,656
682000,-40107.291705424555,7483.593239449705,-32623.69846597485,299.12575044547674,29.969907058429417,656
682500,-39957.34745862079,7458.29684030796,-32499.050618312827,298.11463130327724,29.969907058429417,656
683000,-40120.83897471827,7468.064227271737,-32652.77474744653,298.5050422812589,30.15663621561301,656
683500,-40017.6585893967,7478.909358913035,-32538.749230483663,298.93853165422246,30.15663621561301,656
