#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
650500,-39962.71145025114,7847.01617878421,-32115.69527146693,313.65208237977737,30.902986824610423,0
651000,-39914.04704105429,7454.691105616709,-32459.355935437583,297.97050694203557,30.615060769198283,761
651500,-39899.65071077744,7387.120056354968,-32512.53065442247,295.2696331542597,30.366223183137475,765
652000,-40197.65871892081,7547.777121835924,-32649.881597084885,301.6912362182836,30.22814324780272,768
652500,-40001.574806498684,7414.616451398749,-32586.958355099934,296.3686880519336,30.37415220631049,768
653000,-40005.631849717814,7790.421128367035,-32215.21072135078,311.38992884124787,30.310993957250425,767
653500,-39879.52544887844,7478.631191254822,-32400.89425762362,298.92741305025106,30.464766637150756,768
654000,-39905.607937514054,7456.414279725382,-32449.193657788674,298.0393837144512,30.68084988965784,768
654500,-39972.77039858111,7567.545133413139,-32405.22526516797,302.4813808865799,30.786027561071407,768
655000,-39738.219485768845,7402.555418749632,-32335.664067019214,295.886598054939,30.80856979659355,768
655500,-39643.31982838211,7506.778577313245,-32136.541251068866,300.0524886267028,30.508413291643752,750
656000,-40089.72322437068,7581.3718206900985,-32508.351403680583,303.0340456394012,30.508413291643752,751
656500,-40103.736685848125,7548.957898113745,-32554.77878773438,301.7384328762139,29.984064686404132,753
657000,-40113.758591449965,7506.934185150069,-32606.824406299897,300.0587084076925,30.112070256974196,754
657500,-40260.02614410274,7399.1483747404045,-32860.877769362334,295.75041553359506,30.1833370988525,751
658000,-39958.55873105835,7275.309300705337,-32683.249430353015,290.8004597075705,30.552730493500643,751
658500,-39733.27867225537,7219.985787321855,-32513.292884933515,288.5891306135628,30.558790346256465,753
659000,-39646.754978006036,7539.557449188657,-32107.197528817378,301.3626887317542,30.66628195147968,754
659500,-39630.54636868715,7409.367800347439,-32221.178568339714,296.158894890505,30.713259176947048,754
660000,-39978.92974903021,7604.569239811157,-32374.360509219056,303.96126671902994,30.713259176947048,755
660500,-39961.825437341235,7656.378850078895,-32305.44658726234,306.03214203998266,30.141175531246702,756
661000,-40277.81497722652,7246.511135956972,-33031.303841269546,289.6493719391443,30.239672657193374,757
661500,-40059.03284673934,7394.651020769181,-32664.38182597016,295.5706523718869,30.62489445465186,757
662000,-39865.590948589175,7282.63438000021,-32582.956568588965,291.0932495173641,30.3197726314775,757
662500,-40126.60356972573,7535.112885800326,-32591.490683925407,301.1850356556986,30.60529107180347,758
663000,-40206.596924838756,7401.548152230575,-32805.04877260818,295.84633673343603,30.469784676159072,759
663500,-39864.16006934244,7453.5500977405445,-32410.609971601894,297.9248998618134,30.77581164702868,759
664000,-40040.56224559323,7405.94167508475,-32634.62057050848,296.02194967481375,30.592773423770474,760
664500,-39824.112465892365,7652.106982775545,-32172.00548311682,305.8613917771033,30.636901349783376,760
665000,-39806.317304338154,7536.303708116708,-32270.013596221448,301.2326338625542,30.574619864695123,761
665500,-39751.29001059916,7502.320277650451,-32248.969732948706,299.8742864997735,30.574619864695123,761
666000,-39851.34729169647,7323.550771521538,-32527.79652017493,292.7287133818109,30.314084785052042,761
666500,-40000.67656124846,7464.702559110157,-32535.974002138304,298.3706734721312,30.31470619255166,762
667000,-39874.49209676002,7248.4567280170395,-32626.03536874298,289.72713895111394,30.2227624215664,757
667500,-40088.70884189484,7365.658149885569,-32723.05069200927,294.4117820293739,30.1191235157377,758
668000,-39851.715226911154,7730.959785438573,-32120.755441472582,309.013207090497,30.179590071888843,758
668500,-39900.6224744865,7590.596024955791,-32310.026449530713,303.40274513106954,30.415239211816512,758
669000,-40080.01195274384,7563.909245323234,-32516.102707420603,302.3360512676884,30.477160050025617,759
669500,-39873.41031013103,7521.975514934455,-32351.434795196576,300.6599234811861,30.602704171211602,759
670000,-40059.14247163461,7692.385035134995,-32366.757436499614,307.4713406683646,30.316198946767177,759
670500,-39757.66480138985,7497.669007359151,-32259.9957940307,299.6883711684757,30.33454233009276,760
671000,-39854.08928048995,7407.925631176267,-32446.163649313683,296.10125013058916,30.312732303389254,760
671500,-39807.01641224453,7417.374783062384,-32389.641629182144,296.4789409748895,30.465126918496164,760
672000,-39559.34466322782,7389.585654829495,-32169.759008398327,295.36818527626735,30.914840070431648,761
672500,-39783.13695014236,7611.29138426257,-32171.84556587979,304.2299566971319,31.00304884535333,760
673000,-39576.55472308074,7487.2622855041745,-32089.29243757657,299.2724054171388,30.46472680877644,760
673500,-39859.9673413008,7398.008938252916,-32461.958403047884,295.70487126314913,30.6725808254316,760
674000,-39877.27874869658,7591.340846847117,-32285.937901849466,303.4325163118462,30.420177958764377,761
674500,-40032.22817268834,7636.9074196902475,-32395.32075299809,305.25385198052993,30.357164315808124,761
675000,-39756.6097130595,7521.422398573914,-32235.187314485585,300.6378149377182,30.55914608052337,753
675500,-39703.42614948211,7560.003656475823,-32143.42249300629,302.17994147423315,30.643211828214632,753
676000,-40099.464545619354,7762.409085584278,-32337.055460035077,310.27026305359755,30.74678851001762,753
676500,-39882.09603266406,7599.929040326366,-32282.166992337698,303.77579389752646,30.415888886550817,752
677000,-39557.87694758427,7410.236589746044,-32147.640357838227,296.1936211606965,30.36619883910051,752
677500,-39970.720324502065,7533.745260939277,-32436.975063562786,301.1303704968906,30.36619883910051,752
678000,-39754.855058506626,7446.587818978498,-32308.267239528126,297.6466115058229,30.476746337547524,752
678500,-39741.19378284362,7607.137027334719,-32134.0567555089,304.06390342647694,30.516454877209007,753
679000,-39954.84689220722,7568.208568867437,-32386.638323339783,302.5078989804673,30.529422861067818,753
679500,-39905.46342931353,7343.949086816286,-32561.514342497245,293.54405183957203,30.520758065492593,753
680000,-40002.105576626316,7496.003048683706,-32506.10252794261,299.62178134684075,30.912378221899115,754
680500,-39733.941709573875,7459.6310206182,-32274.310688955677,298.16795965421244,30.816763791106865,754
681000,-40040.14870682088,7437.206820805093,-32602.94188601579,297.2716448248768,30.983669477157946,753
681500,-39959.06829226384,7299.483127344449,-32659.585164919386,291.7667086475108,30.582554877842774,753
682000,-39924.878521922365,7517.6085510414305,-32407.269970880934,300.48537212465556,30.71141562877194,753
682500,-40074.09191462162,7578.738911273107,-32495.35300334851,302.9288059530616,30.55092772844252,754
683000,-40132.95893426752,7551.521532693327,-32581.437401574192,301.840903586867,29.92599940970351,754
683500,-39889.95168206925,7606.154379637299,-32283.79730243195,304.0246261407521,30.75097137471302,752
684000,-40027.42695257798,7461.793684149604,-32565.633268428377,298.2544032022639,30.547004725860777,752
684500,-40114.60509393105,7442.0541568535255,-32672.550937077525,297.46539707553427,30.57393526658785,752
685000,-40159.70235940156,7329.098305348701,-32830.60405405286,292.9504531485347,30.506263536586705,752
685500,-40115.66685466535,7615.482718601425,-32500.184136063926,304.3974879871637,30.402189397879813,751
686000,-39985.842346170975,7329.595806262112,-32656.24653990886,292.9703386940621,29.997713475825808,751
686500,-39998.98882510257,7471.054070991333,-32527.934754111237,298.624548943062,30.028681508348267,751
687000,-40238.35525689428,7557.698123043603,-32680.65713385068,302.08778729160673,30.028681508348267,752
687500,-40493.79153833975,7406.683287772754,-33087.10825056699,296.051592580934,30.028681508348267,752
688000,-39948.34343454585,7319.40701882857,-32628.936415717282,292.5630839716753,29.925672535051543,752
688500,-39967.616436385,7636.542451777237,-32331.07398460776,305.23926389465,29.925672535051543,752
689000,-39995.690567628975,7554.564717450835,-32441.12585017814,301.96254233649,30.20833770367743,752
689500,-40016.950943183765,7614.2638404315185,-32402.687102752247,304.3487683633668,30.207921493773323,752
690000,-40032.08756075951,7508.219354767851,-32523.868205991657,300.11007775849345,30.175479168918397,753
690500,-39961.53424337358,7651.00912754814,-32310.52511582544,305.8175095458982,30.031858190481035,753
691000,-40229.48746820059,7631.500870288023,-32597.986597912568,305.03774748426525,30.150003001579858,753
691500,-39896.862109049835,7318.174584141288,-32578.687524908546,292.51382248205226,30.150003001579858,753
692000,-39981.62552556669,7594.8821187190015,-32386.74340684769,303.5740640379606,30.385642016921715,753
692500,-40283.6676700766,7407.143187616273,-32876.52448246032,296.0699751788947,30.53330457610025,753
693000,-40133.7691829862,7389.814139889068,-32743.955043097132,295.3773180234282,30.953181882552492,753
693500,-39779.81799348054,7165.523245057409,-32614.294748423126,286.41221528629166,30.882092223039763,753
694000,-39696.558131657046,7328.622066449522,-32367.936065207523,292.93141746426517,30.92707564251495,752
694500,-39608.874913959095,7431.792248748099,-32177.082665210997,297.05521965610205,30.23317983621917,752
695000,-39886.43082703848,7471.059981801853,-32415.370845236626,298.6247852033151,30.23334761978102,752
695500,-39934.43258306413,7606.314928162284,-32328.11765490185,304.0310434053578,30.44446050508969,752
696000,-39894.6670059606,7474.598678012617,-32420.068327947978,298.76622997800746,30.44446050508969,752
696500,-39820.205726282,7482.1446380104235,-32338.061088271577,299.06784858219305,30.44446050508969,752
697000,-40051.78711833991,7724.882294945957,-32326.904823393954,308.77028449352235,30.44606002474318,752
697500,-39786.33036862887,7722.076463064311,-32064.25390556456,308.6581329454135,30.61301082999928,752
698000,-39808.85094990555,7627.467417199411,-32181.38353270614,304.87652684554087,30.87027432341818,752
698500,-39890.665177040646,7493.958362802856,-32396.70681423779,299.54005346840523,30.488416282700545,751
699000,-39754.759030162415,7518.192522006284,-32236.56650815613,300.5087139535753,30.488333210146383,751
699500,-39977.96345953972,7484.32060013234,-32493.64285940738,299.15482368650896,30.248850128474544,751
700000,-39726.27708840565,7461.789290951457,-32264.487797454196,298.2542276023014,30.3885223850493,752
700500,-40216.873164314224,7496.724416479252,-32720.148747834974,299.65061504694785,30.700052521358334,752
701000,-40098.628954082524,7450.363597631514,-32648.26535645101,297.7975326725621,30.636985201818522,752
701500,-39969.75856678307,7300.032446428466,-32669.726120354608,291.7886654105234,30.508528340891317,752
702000,-39958.343758122006,7599.758499605091,-32358.585258516916,303.7689772361179,30.352039162318327,752
702500,-39996.90352592486,7674.50601870173,-32322.397507223133,306.75670078392574,30.55060040897683,753
703000,-40070.34948043214,7420.674561819848,-32649.67491861229,296.6108360105426,30.267281554470976,753
703500,-39613.98520616678,7465.311754967804,-32148.673451198974,298.395023562022,30.27605500488533,753
704000,-39916.68445303739,7671.814301680438,-32244.870151356954,306.6491105063388,30.33876994782521,753
704500,-40087.782207638986,7529.647670621709,-32558.13453701728,300.96658623717167,29.94136342763606,753
705000,-40015.60311681958,7321.783800496234,-32693.819316323345,292.6580860084292,30.08679403276346,753
705500,-40278.704534128774,7386.892948705658,-32891.811585423115,295.2605554633887,30.342163833506774,754
706000,-40111.80042562526,7173.854059923839,-32937.94636570142,286.7452052242811,30.069643401542137,754
706500,-40086.39466259515,7013.310898860942,-33073.083763734205,280.32815501921687,30.069643401542137,754
707000,-40453.56396782378,7438.138274835741,-33015.425692988036,297.3088758550795,30.248407204378264,754
707500,-40023.000952858245,7413.812415611059,-32609.188537247188,296.3365500400612,30.201775219887093,754
708000,-40050.3752422173,7396.893116321549,-32653.48212589575,295.66027088711263,30.297780613388596,754
708500,-39874.66989541831,7380.496456963477,-32494.173438454833,295.0048821081732,30.299220601366493,754
709000,-39936.88626905784,7452.334028184966,-32484.552240872872,297.8762925007814,30.670695893514136,755
709500,-39930.92668011863,7596.174025789351,-32334.75265432928,303.62570269061837,30.687425496509487,755
710000,-39963.85721086629,7557.018191564609,-32406.839019301682,302.06060983722114,30.656304277883418,753
710500,-39739.09883192883,7386.659567703011,-32352.439264225817,295.251227021112,30.83263367638951,754
711000,-39807.07255471841,7210.746466221314,-32596.3260884971,288.21982688881764,30.701877961556225,754
711500,-39966.71597793471,7470.543826910003,-32496.172151024708,298.60415404199586,30.64052303335993,754
712000,-40192.77877192458,7422.210447730024,-32770.56832419456,296.67222671027463,30.745356960815283,754
712500,-39693.357456850994,7482.827897351149,-32210.529559499846,299.0951590541153,30.984246624425015,754
713000,-39830.328933463024,7334.523177175387,-32495.80575628764,293.16729000808954,30.62340335368871,754
713500,-39821.653940749646,7565.894491535299,-32255.759449214347,302.41540329070756,30.46790770120622,754
714000,-39823.273956573394,7486.26573822909,-32337.008218344305,299.23257255316884,30.640809120666674,755
714500,-39655.840767885675,7440.066988772839,-32215.773779112835,297.3859682337497,30.93926743702246,754
715000,-39890.06046763359,7265.0686476625915,-32624.991819971,290.3911318715364,30.239525448168177,755
715500,-39938.29275588982,7399.741274533481,-32538.551481356342,295.7741142555684,30.35491745373243,755
716000,-39801.96891526715,7438.434153855142,-32363.534761412007,297.32070239760895,30.701079534056483,755
716500,-40022.749970002886,7542.981706028128,-32479.768263974758,301.4995592649394,30.467285357145403,755
717000,-39977.312157017965,7128.197518321701,-32849.114638696265,284.9202734258114,30.500677161174416,755
717500,-40348.73696720583,7292.455282331679,-33056.28168487415,291.4857995512791,30.31492805395954,755
