#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
1100500,-39822.168328269705,7377.11701228368,-32445.051315986024,294.86980275610415,30.534944578875063,0
1101000,-39984.0453174288,7373.108901900043,-32610.936415528755,294.7095950874065,30.764681848210632,764
1101500,-40187.486024516955,7616.5024172019075,-32570.983607315047,304.43824622980696,30.48012921810653,763
1102000,-40077.18504199275,7435.31323470471,-32641.87180728804,297.1959565364856,30.67312100982101,755
1102500,-40057.056353424414,7476.04517697163,-32581.011176452783,298.82404780332064,30.77977674158737,760
1103000,-39815.776920495846,7393.238026196287,-32422.53889429956,295.51417374611606,30.765579125409356,763
1103500,-40039.4408875806,7341.035500579499,-32698.405387001098,293.42759325588366,30.747820637439105,765
1104000,-39985.34015160141,7495.044755945146,-32490.295395656267,299.5834775500687,30.747820637439105,767
1104500,-40025.722682078835,7360.103136946471,-32665.619545132366,294.18974331602124,30.57015393484677,768
1105000,-40065.36625344446,7404.469047153922,-32660.897206290538,295.9630874517023,30.518659653861228,769
1105500,-40010.47940124496,7600.40589817189,-32410.073503073065,303.7948543216215,30.45232224596089,769
1106000,-39991.23690588254,7390.1555933498375,-32601.081312532704,295.39096621613817,30.609525904016753,770
1106500,-39612.77110636217,7502.199794389512,-32110.571311972657,299.8694706787245,30.838159729650677,752
1107000,-39933.0203852281,7581.8807705472045,-32351.13961468089,303.05438880919604,30.80984047883328,750
1107500,-39996.35594330795,7343.250905476158,-32653.105037831792,293.5161449223158,30.558261685374806,752
1108000,-40077.28081452029,7277.780254052552,-32799.500560467735,290.89922586851105,30.61577939174864,753
1108500,-40114.72540345389,7370.286277376624,-32744.439126077268,294.5967723227561,30.599148108861787,755
1109000,-39927.51406513507,7501.690407056487,-32425.82365807858,299.8491100226355,30.72521019447038,756
1109500,-39808.33744201908,7120.686637822038,-32687.650804197045,284.6200569797699,30.95884409616509,757
1110000,-40066.912228243746,7373.584707813789,-32693.327520429957,294.7286134648706,31.13644082622071,758
1110500,-39967.5291761019,7438.51651902079,-32529.01265708111,297.32399460513506,30.870383046966598,759
1111000,-40210.32237781817,7678.064536775274,-32532.257841042898,306.898937855766,30.668687249052482,759
1111500,-40001.4430745758,7470.169931137193,-32531.273143438608,298.5892091017711,30.668687249052482,760
1112000,-40136.642721290904,7549.1199617409,-32587.522759550004,301.7449107007751,30.18319788378925,760
1112500,-40268.38422859844,7394.885735897164,-32873.49849270128,295.5800341403172,30.16453479864413,761
1113000,-40084.94356396422,7488.235528089381,-32596.708035874835,299.3113067723235,30.048284112984025,760
1113500,-40130.7123978881,7222.685544188658,-32908.02685369944,288.6970422507888,30.393313325095036,761
1114000,-40230.56145973908,7483.432689706895,-32747.128770032185,299.11933313219356,30.456268570184605,761
1114500,-40213.64340981608,7284.083868393538,-32929.559541422546,291.1511868329748,29.999398952557282,761
1115000,-40150.279668643285,7456.829652216662,-32693.45001642662,298.05598651529743,30.000911378574497,762
1115500,-40311.25958293473,7071.893641815536,-33239.36594111919,282.6697583625242,30.210163226537947,762
1116000,-40137.182031379925,7091.747566370458,-33045.434465009464,283.4633370474897,30.30872374118651,762
1116500,-40264.74308305862,7562.4478112234065,-32702.295271835217,302.27763647176744,30.280050782076437,763
1117000,-40305.846545006876,7506.902125152589,-32798.944419854284,300.0574269416242,30.469666533511035,763
1117500,-39996.70520911369,7574.70528195366,-32421.999927160025,302.767578270237,30.50993474036023,763
1118000,-40037.16957229926,7666.21267495924,-32370.95689734002,306.42520859944983,30.577752935422875,759
1118500,-39791.857095802116,7288.284105695909,-32503.572990106208,291.31907398222523,30.65305331334119,759
1119000,-39766.67944423045,7380.462554015789,-32386.216890214666,295.00352697777726,30.864002078670108,760
1119500,-39935.204402543925,7570.999457126358,-32364.204945417565,302.6194532189391,30.782958257263815,759
1120000,-39989.215329476865,7336.580994313675,-32652.63433516319,293.2495427543405,30.788931743433928,759
1120500,-39730.83661073414,7510.50397653156,-32220.332634202583,300.20139608348615,30.936047115789624,760
1121000,-39661.05918216458,7500.611331565956,-32160.447850598623,299.80597843389666,30.766328292539235,760
1121500,-39818.89586014341,7554.925763057491,-32263.970097085923,301.97697364436317,30.766328292539235,761
1122000,-40022.35604626022,7658.6931711998905,-32363.662875060327,306.12464747419574,30.766328292539235,761
1122500,-39586.21982491185,7377.745274039587,-32208.474550872266,294.89491492658146,30.73608026288508,761
1123000,-39845.72217574797,7265.306251737298,-32580.415924010675,290.40062911368756,30.698269793424213,761
1123500,-39980.07758506801,7060.51648153704,-32919.56110353097,282.21500334079167,30.591085413461112,762
1124000,-39966.5306684291,7305.981291331138,-32660.54937709796,292.02644593103787,30.693011078910217,761
1124500,-40116.07740544237,7578.717421069201,-32537.359984373164,302.9279469708635,30.643700849091104,761
1125000,-40090.17976591611,7209.244582138679,-32880.93518377743,288.1597952717955,30.618261397487938,761
1125500,-40001.386033092596,7271.785454245181,-32729.600578847414,290.65960849036475,30.823787440795044,761
1126000,-39704.33756508614,7563.145163948297,-32141.192401137843,302.3055102685498,30.84994422384731,758
1126500,-39774.09714543639,7736.155086842203,-32037.942058594188,309.22086781996575,30.84994422384731,759
1127000,-39826.12477053361,7524.601704431163,-32301.52306610245,300.7648945664495,31.059268200552342,759
1127500,-39864.292504237324,7495.979117691091,-32368.313386546233,299.6208248041886,30.687840282967407,759
1128000,-40125.637702602544,7559.492082446926,-32566.145620155618,302.15949341400244,30.53172242278572,760
1128500,-40078.815731449315,7454.229255948536,-32624.58647550078,297.95204640788245,30.656153115639906,759
1129000,-39918.3801101858,7530.995591832497,-32387.3845183533,301.0204638238894,30.547273869443753,760
1129500,-39661.78386861191,7187.197290280292,-32474.586578331615,287.2785457822234,30.439554078170527,760
1130000,-39747.150780547614,7500.858417302441,-32246.29236324517,299.81585466634084,30.63962376189899,760
1130500,-40140.345006632444,7569.706423887747,-32570.638582744697,302.56776955235347,30.5642828384923,760
1131000,-40094.46765949894,7326.997621195772,-32767.47003830317,292.8664869703115,30.542984897228695,761
1131500,-39758.150190593675,7550.896182461128,-32207.254008132546,301.8159077925323,30.455215965264934,761
1132000,-39994.810712180275,7424.204799963294,-32570.605912216983,296.75194270890546,30.500412594267736,761
1132500,-40105.0870862047,7621.92675424947,-32483.16033195523,304.6550617137737,30.233088940736387,761
1133000,-40101.123355628806,7580.310042795371,-32520.813312833434,302.991605450657,30.38092760090117,761
1133500,-39886.229380037985,7371.754716919276,-32514.474663118708,294.6554671323383,30.87523971331175,761
1134000,-39885.462510432495,7183.319334258538,-32702.14317617396,287.12354049691646,30.976473937414635,761
1134500,-40379.78101217639,7427.433774824534,-32952.34723735186,296.88100765105736,30.94628769246921,759
1135000,-40048.355539625016,7131.9696354663065,-32916.38590415871,285.07104823886516,30.94628769246921,759
1135500,-40221.542564256495,7787.832907265982,-32433.70965699051,311.2864753858823,30.60298592137315,760
