#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
1400500,-39646.782135695685,7514.768484925281,-32132.013650770405,300.37185220432775,30.476337395400503,0
1401000,-40150.03721148285,7715.361103547167,-32434.676107935684,308.3897141670534,30.582174798270476,771
1401500,-39946.02828120135,7616.329563893904,-32329.69871730744,304.4313371322894,30.582174798270476,773
1402000,-39675.70056359141,7459.190595163328,-32216.509968428083,298.15035546455533,31.147027196722558,774
1402500,-39503.5957418044,7537.441829995276,-31966.153911809124,301.2781255869348,30.937437142773863,774
1403000,-39831.07914963752,7261.579848265236,-32569.49930137228,290.25168151600576,30.82168818055067,775
1403500,-39497.710266791895,7223.17198761913,-32274.538279172764,288.7164858190766,30.811112811154516,775
1404000,-39766.37212203117,7441.262232241373,-32325.109889789797,297.43374315791385,30.811112811154516,774
1404500,-39585.45720355818,7396.637443350437,-32188.81976020774,295.65005141540894,30.92564797169086,775
1405000,-39796.16365204175,7479.8823172979155,-32316.281334743835,298.9774216496722,30.912249995256786,775
1405500,-40034.43599774435,7473.886512115919,-32560.549485628435,298.737764085825,30.69196128050305,775
1406000,-39731.17083914144,7408.8384841195975,-32322.332355021845,296.13773765910423,30.69196128050305,775
1406500,-39798.080497043964,7602.428448691869,-32195.652048352094,303.8756974303721,31.028247326740633,761
1407000,-39655.03921560329,7341.4365535716715,-32313.60266203162,293.4436236938582,31.184220199640222,762
1407500,-40089.34170267623,7410.762036991701,-32678.57966568453,296.2146237455041,31.034025649627505,763
1408000,-40066.2549305438,7336.016891242705,-32730.238039301097,293.22699506247204,30.957771320508325,764
1408500,-39929.53732709572,7371.886325954236,-32557.651001141487,294.66072766028094,30.88498521064224,765
1409000,-39932.35885630778,7585.6169566661865,-32346.741899641595,303.20372742780955,30.92816393485541,766
1409500,-40182.83629385082,7673.195935917083,-32509.64035793374,306.7043356321111,30.722077037908818,766
1410000,-39605.57382999998,7353.579248172036,-32251.994581827945,293.9289777902858,30.906073693062623,766
1410500,-40012.521306583716,7309.777511865718,-32702.743794717997,292.1781841776167,30.909736506051363,766
1411000,-39943.114527549566,7444.01013834411,-32499.104389205455,297.5435793621054,30.766175544907046,767
1411500,-39887.78642359562,7486.700170833893,-32401.08625276173,299.2499372033805,30.40793134308134,767
1412000,-39931.96918845063,7089.151011427381,-32842.81817702325,283.35955048118797,30.641217004689953,768
1412500,-39892.97179237558,7480.86986572988,-32412.1019266457,299.01689482203216,30.35059528814012,768
1413000,-40145.31946445888,7514.825441385086,-32630.494023073792,300.37412880371477,30.498357575862954,768
1413500,-39985.43759932337,7525.207952888132,-32460.229646435237,300.7891268461639,30.545945638373386,769
1414000,-39764.18406375771,7470.13684454238,-32294.047219215332,298.5878866017117,30.434808152257425,769
1414500,-39963.546103018714,7625.695702012396,-32337.85040100632,304.8057098438768,30.399894902048793,769
1415000,-39851.47757813017,7106.056058545462,-32745.42151958471,284.035259962411,30.399894902048793,769
1415500,-40017.07632835422,7368.061795217093,-32649.014533137124,294.507857830208,30.399894902048793,769
1416000,-40119.506127750705,7626.7211777706325,-32492.784949980072,304.84669900455555,30.55164332397661,769
1416500,-40080.35778758372,7259.666264437325,-32820.69152314639,290.17519390099926,30.640115128618376,769
1417000,-40278.261688150786,7374.968705447393,-32903.292982703395,294.7839330576813,30.712119133575985,769
1417500,-39811.75993192464,7248.19319588127,-32563.566736043365,289.7166053417426,30.92591585947858,769
1418000,-40155.068800045294,7543.555121121025,-32611.513678924268,301.52247916644814,30.843712839382345,770
1418500,-39970.475847009395,7418.430903433721,-32552.044943575675,296.52115502748813,30.586896245687907,770
1419000,-39886.986367177684,7248.703686948659,-32638.282680229026,289.73701011505705,30.506246115280288,770
1419500,-40035.2190111441,7300.593360716486,-32734.625650427617,291.8110856439555,30.393640692763103,767
1420000,-39972.02416880854,7586.427741338273,-32385.596427470264,303.23613519847896,30.688006842023242,767
1420500,-39971.641350687336,7811.864209138726,-32159.77714154861,312.24702748657273,30.6400936593803,767
1421000,-39865.837995794776,7573.236521693212,-32292.601474101564,302.70887064128476,30.754114442544505,766
1421500,-40008.54253056698,7478.539220429387,-32530.003310137592,298.92373689612333,30.58807150206818,761
1422000,-40259.09963426535,7645.490746125594,-32613.60888813976,305.5969350262194,30.58807150206818,760
1422500,-40184.387406217196,7621.964369663212,-32562.423036553984,304.6565652346766,30.38237914473347,760
1423000,-40054.642747146165,7324.91737676175,-32729.725370384414,292.78333778548455,30.211025393051642,761
1423500,-40176.56646908878,7399.675215853054,-32776.89125323572,295.77147383248234,30.26479133046022,760
1424000,-40170.88104844684,7466.634098953099,-32704.246949493743,298.44787880472325,30.477366955418304,761
1424500,-40387.106571897195,7157.354122599313,-33229.752449297885,286.08568833492313,30.477366955418304,761
1425000,-40210.7144192828,7470.730862942447,-32739.98355634035,298.61163003538235,30.331605120735098,761
1425500,-39842.28503499355,7281.399838428479,-32560.88519656507,291.04390381373156,30.43542767564119,761
1426000,-40126.04805958836,7568.734893739277,-32557.31316584908,302.5289366447591,30.33656345026821,761
1426500,-39984.8777678418,7328.338226364179,-32656.539541477618,292.9200721284327,30.272650700753456,761
1427000,-39775.286775924615,7588.8549919218585,-32186.431784002758,303.33315452183115,30.636293783093578,761
1427500,-40058.7625306196,7556.5304811303085,-32502.232049489292,302.041115625685,30.49684666441103,762
1428000,-39776.357298322924,7372.713064453897,-32403.64423386903,294.69377311935665,30.614709284339938,762
1428500,-39919.35632140699,7241.157957166733,-32678.198364240256,289.4354007128011,30.614709284339938,762
1429000,-40037.666492062854,7310.662548432237,-32727.003943630618,292.21355986128367,30.441526371373637,762
1429500,-40095.618936738116,7357.041471705665,-32738.577465032453,294.06736588535847,30.46020718226049,762
1430000,-39868.99272420842,7491.556983633608,-32377.435740574816,299.4440682480543,30.650130253456936,763
1430500,-39997.08853668693,7469.528641159641,-32527.559895527294,298.56357618190884,30.795144192450216,763
1431000,-40144.225743504765,7570.900781360051,-32573.324962144714,302.6155090624754,30.309128788253915,763
1431500,-40172.748269693635,7639.201132706882,-32533.547136986752,305.3455336908333,30.447595157612362,763
1432000,-39968.23495031765,7406.668131228283,-32561.56681908937,296.0509867606289,30.399809920432002,763
1432500,-39859.00174786322,7458.144436967904,-32400.857310895317,298.1085396088189,30.756500732787906,763
1433000,-40006.4420092839,7336.785721110573,-32669.656288173326,293.2577258630156,30.562162472429442,761
1433500,-39968.09847817381,7355.531415830838,-32612.56706234297,294.00700763467336,30.525204891395436,761
